"[[43.27212279523469, -2.9399040420581963], [43.27167313443173, -2.939904044339628], [43.27167313443173, -2.9405216154913743], [43.27212279523469, -2.940521617772806]]",1605,2,0,#000000
"[[43.27257245603765, -2.939904039776711], [43.272122795234694, -2.9399040420581963], [43.272122795234694, -2.940521617772806], [43.27257245603765, -2.940521620054291]]",1606,0,0,#000000
"[[43.27212279357356, -2.9392864686250464], [43.2716731327706, -2.9392864709064788], [43.2716731327706, -2.939904042058208], [43.27212279357356, -2.93990404433964]]",1607,1,0,#000000
"[[43.27167313443174, -2.939904044339628], [43.27122347362878, -2.9399040466210073], [43.27122347362878, -2.940521613209995], [43.27167313443174, -2.9405216154913743]]",1608,0,0,#000000
"[[43.27212279357356, -2.9405216154913623], [43.2716731327706, -2.9405216177727946], [43.2716731327706, -2.9411391889245233], [43.27212279357356, -2.9411391912059557]]",1609,0,0,#000000
"[[43.27257245437652, -2.939286466343562], [43.27212279357356, -2.9392864686250464], [43.27212279357356, -2.93990404433964], [43.27257245437652, -2.9399040466211246]]",1610,0,0,#000000
"[[43.27167313277061, -2.9392864709064788], [43.27122347196766, -2.939286473187858], [43.27122347196766, -2.9399040397768283], [43.27167313277061, -2.939904042058208]]",1611,0,0,#000000
"[[43.27257245437652, -2.940521613209878], [43.27212279357356, -2.9405216154913623], [43.27212279357356, -2.9411391912059557], [43.27257245437652, -2.94113919348744]]",1612,0,0,#000000
"[[43.27167313277061, -2.9405216177727946], [43.27122347196766, -2.9405216200541737], [43.27122347196766, -2.941139186643144], [43.27167313277061, -2.9411391889245233]]",1613,0,0,#000000
"[[43.27302211517947, -2.9392864640620244], [43.272572454376515, -2.939286466343562], [43.272572454376515, -2.9399040466211246], [43.27302211517947, -2.9399040489026618]]",1614,0,0,#000000
"[[43.27122347196766, -2.939286473187858], [43.27077381116471, -2.9392864754691845], [43.27077381116471, -2.939904037495502], [43.27122347196766, -2.9399040397768283]]",1615,0,0,#000000
"[[43.27302211517947, -2.9405216109283403], [43.272572454376515, -2.940521613209878], [43.272572454376515, -2.94113919348744], [43.27302211517947, -2.9411391957689776]]",1616,0,0,#000000
"[[43.27122347196766, -2.9405216200541737], [43.27077381116471, -2.9405216223355], [43.27077381116471, -2.941139184361818], [43.27122347196766, -2.941139186643144]]",1617,0,0,#000000
"[[43.2730221168406, -2.9399040374951735], [43.27257245603764, -2.939904039776711], [43.27257245603764, -2.940521620054291], [43.2730221168406, -2.9405216223358286]]",1618,0,0,#000000
"[[43.27212278859017, -2.9386688951919817], [43.2716731277872, -2.9386688974734136], [43.2716731277872, -2.939286468625092], [43.27212278859017, -2.939286470906524]]",1619,0,1,#000000
"[[43.27122347362879, -2.9399040466210073], [43.27077381282583, -2.939904048902334], [43.27077381282583, -2.940521610928668], [43.27122347362879, -2.940521613209995]]",1620,0,0,#000000
"[[43.27212278859017, -2.941139188924479], [43.2716731277872, -2.941139191205911], [43.2716731277872, -2.9417567623575893], [43.27212278859017, -2.9417567646390212]]",1621,0,0,#000000
"[[43.272572449393124, -2.938668892910497], [43.27212278859017, -2.938668895191982], [43.27212278859017, -2.9392864709065245], [43.272572449393124, -2.9392864731880093]]",1622,0,0,#000000
"[[43.27167312778722, -2.938668897473414], [43.27122346698427, -2.938668899754793], [43.27122346698427, -2.9392864663437135], [43.27167312778722, -2.9392864686250926]]",1623,1,0,#000000
"[[43.272572449393124, -2.9411391866429937], [43.27212278859017, -2.941139188924479], [43.27212278859017, -2.9417567646390212], [43.272572449393124, -2.9417567669205065]]",1624,0,0,#000000
"[[43.27167312778722, -2.941139191205911], [43.27122346698427, -2.94113919348729], [43.27122346698427, -2.9417567600762102], [43.27167312778722, -2.9417567623575893]]",1625,0,1,#000000
"[[43.27302211019608, -2.9386688906289598], [43.272572449393124, -2.938668892910497], [43.272572449393124, -2.9392864731880093], [43.27302211019608, -2.939286475469547]]",1626,0,0,#000000
"[[43.27122346698426, -2.938668899754793], [43.27077380618131, -2.93866890203612], [43.27077380618131, -2.939286464062387], [43.27122346698426, -2.9392864663437135]]",1627,0,0,#000000
"[[43.27302211019608, -2.9411391843614565], [43.272572449393124, -2.9411391866429937], [43.272572449393124, -2.9417567669205065], [43.27302211019608, -2.9417567692020437]]",1628,0,0,#000000
"[[43.27122346698426, -2.94113919348729], [43.27077380618131, -2.9411391957686166], [43.27077380618131, -2.9417567577948835], [43.27122346698426, -2.9417567600762102]]",1629,0,0,#000000
"[[43.27347177764355, -2.9399040352135835], [43.273022116840586, -2.9399040374951735], [43.273022116840586, -2.9405216223358286], [43.27347177764355, -2.9405216246174186]]",1630,0,0,#000000
"[[43.27077381282584, -2.939904048902334], [43.27032415202288, -2.939904051183608], [43.27032415202288, -2.940521608647394], [43.27077381282584, -2.940521610928668]]",1631,0,0,#000000
